17.2.3.2. Külkereskedelmi termékforgalom, kivitel havonta [millió euró];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Idõszak;Ausztria;Belgium;Bulgária;Ciprus;Csehország;Dánia;Észtország;Finnország;Franciaország;Görögország;Hollandia;Horvátország;Írország;Lengyelország;Lettország;Litvánia;Luxemburg;Magyarország;Málta;Németország;Olaszország;Portugália;Románia;Spanyolország;Svédország;Szlovákia;Szlovénia;EU27_2020
2018.;január;12 601;33 731;2 267;207;14 483;7 566;1 035;5 259;38 689;2 542;50 852;1 075;12 022;17 891;1 041;2 089;1 155;8 509;226;107 444;35 027;4 757;5 391;23 510;11 732;5 886;2 973;409 960
;február;12 284;31 646;2 019;191;13 312;7 281;1 118;4 847;38 784;2 426;47 037;1 068;10 339;17 257;1 056;2 056;1 130;8 454;250;105 004;36 401;4 590;5 431;23 026;10 901;6 200;2 878;396 986
;március;14 336;34 964;2 354;883;14 590;7 732;1 143;5 447;44 472;2 901;52 542;1 222;11 276;19 180;1 072;2 383;1 293;9 167;220;116 441;41 840;4 934;6 079;26 359;12 043;6 920;3 361;445 152
;április;12 783;31 199;2 204;332;13 934;7 205;1 194;5 655;40 283;2 607;47 280;1 188;10 879;18 276;1 109;2 065;1 157;8 513;197;110 705;36 514;4 841;5 210;24 625;11 268;6 358;2 991;410 572
;május;12 689;33 275;2 237;459;14 181;7 921;1 238;5 412;38 930;2 956;51 744;1 282;11 719;18 258;1 170;2 345;1 214;9 000;182;109 313;40 782;5 166;5 846;25 874;12 030;6 845;3 223;425 289
;június;13 625;35 030;2 492;593;14 603;8 178;1 269;5 483;43 664;3 035;51 750;1 262;12 649;19 136;1 152;2 474;1 214;9 557;227;115 608;42 366;5 166;5 848;26 250;12 264;6 907;3 226;445 027
;július;13 242;33 501;2 617;356;12 781;7 688;1 193;5 058;43 510;2 960;49 861;1 301;10 996;18 164;1 080;2 408;1 115;8 512;224;111 279;43 230;5 312;5 880;24 745;10 531;5 911;3 304;426 757
;augusztus;11 786;31 163;2 394;264;13 301;7 552;1 184;5 153;34 074;2 568;50 824;1 193;11 451;17 808;1 210;2 542;999;7 980;214;105 604;30 710;4 035;5 109;20 450;10 784;6 201;2 697;389 250
;szeptember;13 017;32 965;2 427;266;14 438;7 894;1 231;5 248;39 516;2 672;52 539;1 246;11 476;18 939;1 131;2 294;1 075;8 859;199;109 437;37 078;4 695;5 820;23 571;11 808;6 951;3 078;419 868
;október;14 710;35 566;2 770;333;16 794;8 596;1 361;5 861;47 054;3 152;56 535;1 413;12 165;21 234;1 300;2 716;1 213;9 666;265;117 552;44 001;5 168;6 309;26 796;13 086;7 683;3 513;466 810
;november;14 098;33 639;2 580;204;16 626;8 460;1 388;5 821;43 885;3 060;56 593;1 366;12 863;20 805;1 304;2 628;1 144;9 563;234;116 451;41 487;4 830;5 917;25 639;13 378;7 613;3 409;454 984
;december;11 257;29 591;2 135;163;12 217;6 839;1 070;4 992;40 104;2 593;48 045;1 135;11 803;16 266;1 080;2 272;1 175;7 793;268;95 895;35 891;4 357;4 586;22 613;10 727;5 662;2 771;383 300
2019.;január;13 161;33 674;2 372;535;14 873;8 286;1 158;5 889;40 786;2 507;51 272;1 124;13 417;19 250;1 090;2 270;1 658;9 141;213;109 116;36 319;4 958;5 476;23 567;12 242;6 722;3 237;424 311
;február;13 394;32 314;2 391;183;13 984;7 621;1 163;5 192;41 618;2 691;49 990;1 213;12 339;19 064;1 073;2 259;1 439;9 250;189;108 997;37 899;4 852;5 872;23 738;11 623;6 653;3 228;420 227
;március;14 108;34 902;2 453;213;15 348;8 178;1 239;5 548;45 926;2 809;56 020;1 325;11 610;20 852;1 187;2 553;1 419;9 904;256;118 395;42 030;5 174;6 104;27 237;12 679;7 266;3 457;458 189
;április;13 495;34 077;2 387;238;15 132;8 062;1 241;5 555;43 189;2 979;51 506;1 256;12 632;19 961;1 152;2 436;1 462;9 083;230;110 177;38 782;4 988;5 508;25 104;12 249;6 551;3 445;432 874
;május;13 710;34 775;2 428;290;15 348;8 780;1 335;5 865;44 927;3 071;53 670;1 353;13 596;20 327;1 174;2 498;1 163;9 751;236;114 416;44 150;5 591;6 245;26 996;12 718;6 922;3 574;454 905
;június;12 622;32 649;2 368;228;14 170;8 031;1 175;5 316;42 228;2 786;50 688;1 182;11 977;18 730;1 072;2 379;1 106;9 052;276;106 249;41 148;4 743;5 547;25 599;11 524;6 430;3 258;422 530
;július;13 992;34 351;2 731;243;14 429;8 356;1 174;5 128;45 328;3 210;51 849;1 621;13 283;19 902;1 151;2 480;1 149;9 136;200;115 192;46 152;5 401;5 823;26 214;11 646;5 788;3 607;449 534
;augusztus;11 456;29 778;2 468;224;13 303;8 279;1 148;5 120;34 466;2 399;49 192;1 042;11 661;18 061;1 215;2 493;974;8 160;252;101 771;29 808;3 825;4 972;19 186;10 582;5 854;2 738;380 425
;szeptember;13 427;33 552;2 509;215;15 813;8 409;1 184;5 350;40 968;2 860;53 434;1 328;12 425;20 546;1 214;2 564;1 136;9 759;196;114 437;39 683;4 992;6 072;24 497;11 979;6 985;3 479;439 011
;október;15 406;35 778;2 809;238;16 739;9 001;1 274;5 802;47 376;2 908;58 117;1 372;14 218;22 377;1 326;2 771;1 209;10 283;257;120 070;46 310;5 574;6 287;27 239;12 680;7 724;3 679;478 822
;november;13 349;32 802;2 733;229;16 113;8 821;1 215;5 161;42 352;2 736;55 223;1 330;12 760;21 053;1 255;2 567;1 039;9 490;260;113 381;40 475;5 219;5 963;25 283;12 347;7 337;3 528;444 020
;december;11 470;30 452;2 141;245;12 653;7 413;1 078;5 692;40 785;2 908;52 097;1 206;11 598;18 056;1 127;2 354;921;7 571;273;98 214;37 596;4 587;4 801;23 677;11 154;5 731;2 918;398 714
2020.;január;12 775;34 266;2 548;217;15 119;8 685;1 146;4 952;38 814;2 857;53 436;1 177;14 607;20 257;1 152;2 231;1 069;9 271;211;106 919;37 002;5 132;5 660;23 873;12 438;6 601;3 575;425 987
;február;12 739;33 359;2 474;215;14 327;8 114;1 088;4 501;40 981;2 655;50 542;1 307;11 262;20 585;1 151;2 322;1 057;9 492;236;109 403;39 783;4 862;5 910;24 563;12 078;6 702;3 485;425 190
;március;13 602;33 260;2 298;294;13 492;8 449;1 233;5 113;38 597;2 471;52 286;1 213;17 275;19 819;1 193;2 525;1 025;9 062;225;109 406;35 876;4 493;5 388;23 361;12 055;5 927;3 493;423 430
;április;10 337;24 777;1 986;252;9 556;7 004;1 015;4 494;24 786;2 120;41 453;967;10 962;14 204;997;1 920;796;5 735;167;75 861;22 191;2 920;2 908;15 184;9 767;3 573;2 480;298 410
;május;10 287;25 617;1 965;278;10 907;7 434;999;4 084;26 157;2 135;41 827;1 032;12 568;16 303;970;1 981;923;6 933;149;80 566;31 021;3 427;3 731;17 747;9 652;4 601;2 843;326 134
;június;12 079;30 714;2 254;266;13 951;8 030;1 168;4 549;34 377;2 573;47 422;1 261;13 263;19 569;1 062;2 230;1 024;8 708;179;96 124;36 256;4 240;4 813;23 323;11 407;6 568;3 236;390 644
;július;13 254;29 974;2 484;210;13 846;7 871;1 162;4 477;37 274;2 929;48 704;1 390;13 209;20 072;1 136;2 355;1 058;8 658;188;102 987;42 693;5 033;5 517;23 873;10 027;6 035;3 483;409 896
;augusztus;10 806;27 277;2 125;197;12 396;7 137;1 085;4 434;28 046;2 078;43 341;1 026;12 602;18 602;1 165;2 481;876;8 027;160;91 363;27 974;3 742;4 569;17 741;10 067;6 307;2 623;348 245
;szeptember;13 309;32 784;2 495;171;15 486;8 595;1 309;4 961;38 497;2 582;50 738;1 404;13 674;22 166;1 386;2 645;1 105;10 363;180;110 189;40 601;5 011;6 028;24 629;11 955;7 396;3 554;433 212
;október;13 652;33 758;2 543;269;16 754;8 038;1 404;5 174;41 384;2 711;53 139;1 457;11 846;23 551;1 426;2 750;1 113;10 314;237;112 566;42 876;5 449;6 226;25 518;12 375;7 942;3 804;448 274
;november;13 693;32 090;2 505;142;17 220;8 060;1 327;5 013;39 499;2 646;54 377;1 431;14 525;23 609;1 352;2 552;1 088;10 385;326;112 374;41 364;5 195;5 994;25 268;12 529;7 559;3 602;445 724
;december;11 756;31 798;2 290;185;14 544;7 614;1 340;6 123;38 826;3 031;52 970;1 359;12 037;20 477;1 275;2 698;980;8 481;220;101 450;39 082;4 255;5 032;24 441;11 760;6 376;3 070;413 468
2021.;január;11 731;31 347;2 432;141;14 508;7 792;1 187;4 461;35 691;2 523;49 926;1 141;12 941;20 492;1 113;2 280;1 004;9 059;220;99 180;33 920;4 616;5 357;21 513;11 302;6 468;3 421;395 764
;február;13 150;31 273;2 584;173;14 722;7 936;1 254;4 864;37 336;2 906;51 276;1 302;11 990;21 955;1 220;2 443;1 042;9 765;192;108 425;38 893;4 987;5 732;24 419;12 221;7 137;3 565;422 760
;március;15 862;39 346;2 975;217;17 736;9 783;1 464;5 864;44 164;3 356;62 517;1 628;14 272;25 107;1 419;2 757;1 262;11 034;218;128 587;46 184;5 848;6 461;30 128;14 162;8 395;4 212;504 955
;április;14 315;36 968;3 015;235;16 567;8 289;1 538;5 398;41 269;3 196;55 749;1 537;11 823;23 918;1 326;2 679;1 168;9 892;222;113 027;43 983;5 341;6 156;26 371;12 962;7 228;3 950;458 121
;május;13 710;36 271;2 628;223;15 907;8 744;1 473;5 351;37 707;3 239;54 552;1 536;13 055;23 131;1 341;2 740;1 104;9 583;187;110 575;43 954;5 311;5 885;26 728;13 163;6 895;3 764;448 753
;június;14 555;40 667;2 923;308;16 615;9 548;1 465;5 749;44 733;3 397;60 715;1 629;14 441;24 314;1 379;2 833;1 254;10 532;219;119 358;45 547;5 144;6 177;28 196;14 274;7 687;3 954;487 608
;július;14 575;37 700;2 986;347;14 502;8 529;1 503;5 596;40 754;3 560;58 873;1 566;12 801;23 308;1 441;2 746;1 216;9 552;195;115 759;49 609;5 580;6 298;27 106;12 420;6 711;4 126;469 359
;augusztus;12 845;36 581;2 855;279;13 705;7 778;1 572;5 211;34 796;2 819;56 263;1 289;12 851;22 261;1 568;2 982;1 086;8 552;172;104 636;32 897;4 358;5 614;22 201;11 312;6 298;3 505;416 286
;szeptember;15 325;41 349;3 077;181;16 150;9 262;1 706;6 672;42 826;3 743;62 553;1 629;14 395;24 971;1 740;3 127;1 271;10 422;178;118 726;45 143;5 492;6 287;28 682;14 434;7 030;4 430;490 800
;október;14 750;43 688;3 122;458;16 396;9 288;1 657;6 173;44 659;3 705;61 997;1 705;14 686;25 986;1 683;3 227;1 211;10 189;281;121 896;46 368;5 568;6 482;28 810;14 467;7 910;4 473;500 836
;november;16 406;42 130;3 172;363;18 692;10 316;1 737;6 673;45 297;3 932;68 699;1 852;15 211;27 927;1 750;3 417;1 275;11 252;280;126 548;48 596;6 061;7 022;30 370;15 261;8 533;4 796;527 564
;december;14 319;44 302;3 057;327;16 071;9 268;1 663;7 460;45 718;3 596;67 281;1 708;12 740;24 812;1 671;3 349;1 164;10 080;272;117 427;45 676;5 315;6 454;28 964;14 353;7 578;4 349;498 973
2022.;január;14 873;44 471;3 239;220;17 447;9 149;1 619;5 772;44 786;3 430;64 634;1 552;15 710;25 684;1 573;3 124;1 202;10 752;208;111 604;41 194;5 612;6 759;27 888;13 625;7 695;4 351;488 172
;február;15 537;45 351;3 464;294;16 799;9 451;1 487;5 728;44 608;3 674;63 679;1 676;15 377;26 197;1 559;2 954;1 302;11 568;208;124 242;47 345;5 961;7 040;30 384;14 319;8 195;4 436;512 835
;március;18 216;53 948;4 185;318;19 695;11 662;1 977;6 993;51 102;4 542;77 341;1 974;19 990;28 395;1 886;3 695;1 547;12 272;247;139 034;56 692;6 606;8 226;34 424;17 414;9 012;5 652;597 044
;április;15 950;46 489;3 969;273;17 407;9 365;1 600;6 638;46 063;4 135;71 386;1 860;16 817;27 512;1 711;3 480;1 362;11 181;219;123 177;50 238;6 197;6 888;31 622;15 096;7 837;5 059;533 531
;május;17 522;51 675;4 315;428;19 481;10 388;1 932;7 022;48 758;4 808;77 908;2 041;17 485;29 159;1 835;3 476;1 441;12 270;244;134 240;56 570;7 463;7 993;35 270;16 368;9 176;5 753;585 018
;június;17 249;51 023;4 462;290;20 521;10 515;1 847;7 215;51 934;5 434;81 243;2 160;17 017;29 069;1 788;3 330;1 517;12 301;212;136 005;54 689;7 051;7 866;36 328;17 101;8 867;6 591;593 625
;július;16 214;48 409;4 126;415;17 184;10 131;1 702;6 593;46 857;4 992;75 362;2 159;14 461;27 238;1 726;3 800;1 363;10 888;191;127 732;57 980;7 134;7 898;32 663;14 432;7 908;5 690;555 245
;augusztus;15 155;50 163;4 022;250;18 586;10 279;1 890;6 652;43 731;4 814;77 189;1 866;19 079;27 621;2 052;4 321;1 319;11 569;266;128 511;40 910;5 765;7 640;29 043;14 182;8 290;5 183;540 348
;szeptember;17 885;53 787;4 021;280;21 361;11 300;1 948;7 148;53 118;4 726;85 261;2 462;19 180;29 746;2 287;4 411;1 453;13 672;231;142 354;54 889;6 850;8 503;35 631;16 643;8 996;6 848;614 990
;október;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;november;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;;;;;;;;;;;;
